NUM_PARC;NO_FILIALE;ETABLISSEMENT;SOCIETE;DORM;ETAT_ADMINISTRATIF;ETAT_PHYSIQUE;DATE_MISE_EN_SERVICE;IMMATRICULATION;TYPE;CEINTURE;CLIMATISATION;RAMPE_PMR;PLACES_ASSISES;ETHYLOTEST;CHAMP_LIBRE_1;CHAMP_LIBRE_2;CHAMP_LIBRE_3;MAD;ACTIVITE;NORME_EURO;NO_SERIE;DATE_KILOMETRES;KILOMETRES_COMPTEUR;MARQUE;PROPULSION;NB_PORTES;TOILETTES;LIVREE;COULEUR;PRESENCE_SAEIV;MARQUE_SAEIV;TYPE_SAEIV;PRESENCE_GIROUETTE_AVT;MARQUE_GIROUETTE_AVT;TYPE_GIROUETTE_AVT;PRESENCE_GIROUETTE_LAT;MARQUE_GIROUETTE_LAT;TYPE_GIROUETTE_LAT;PRESENCE_GIROUETTE_ARR;MARQUE_GIROUETTE_ARR;TYPE_GIROUETTE_ARR;NUM_SERIE_MOTEUR;MARQUE_MOTEUR;TYPE_MOTEUR;NUM_SERIE_BOITE;MARQUE_BOITE;TYPE_BOITE;NUM_SERIE_PONT;MARQUE_PONT;TYPE_PONT;PRESENCE_ENREG_VIDEO;NUM_SERIE_ENREG_VIDEO;ID_MARQUE_ENREG_VIDEO;ID_TYPE_ENREG_VIDEO;PRESENCE_CAMERA;NUM_SERIE_CAMERA;ID_MARQUE_CAMERA;ID_TYPE_CAMERA;PRESENCE_BILLETIQUE1;NUM_SERIE_BILLETIQUE1;ID_MARQUE_BILLETIQUE1;ID_TYPE_BILLETIQUE1;PRESENCE_BILLETIQUE2;NUM_SERIE_BILLETIQUE2;ID_MARQUE_BILLETIQUE2;ID_TYPE_BILLETIQUE2;ID_MARQUE_RAMPEPMR;ID_TYPE_RAMPEPMR;NB_VALIDATEUR;CHAUFFAGE;KITCHENETTE;NB_CAMERA_VIDEO;NB_PLACES_PMR
069295;069295;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;07/12/2006;CM-565-EB;S415NF;Non;Non;;45;Non;;;;Non;Bus et Car;;WKK62878713102849;;;SETRA;GAZOLE;;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
079367;079367;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;05/12/2007;CQ-085-YY;S415NF;Non;Non;;45;Non;;;;Non;Bus et Car;;WKK62878713104926;;;SETRA;GAZOLE;;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
079368;079368;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;25/10/2007;CQ-704-VC;S415NF;Non;Non;;45;Non;;;;Non;Bus et Car;;WKK62878713104699;;;SETRA;GAZOLE;;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
132040;132040;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;02/08/2013;CX-570-NF;SPRINTER CITY 65;Non;Non;;13;Non;;;;Non;Bus et Car;;WDB9061551N547004;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
132041;132041;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;02/08/2013;CX-571-NF;SPRINTER CITY 65;Non;Non;;13;Non;;;;Non;Bus et Car;;WDB9061551N547140;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
132042;132042;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;02/08/2013;CX-565-NF;SPRINTER CITY 65;Non;Non;;13;Non;;;;Non;Bus et Car;;WDB9061551N547053;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
132043;132043;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;02/08/2013;CX-567-NF;SPRINTER CITY 65;Non;Non;;13;Non;;;;Non;Bus et Car;;WDB9061551N547052;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
132044;132044;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;02/08/2013;CX-561-NF;SPRINTER CITY 65;Non;Non;;13;Non;;;;Non;Bus et Car;;WDB9061551N547139;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
132045;132045;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;02/08/2013;CX-556-NF;SPRINTER CITY 65;Non;Non;;13;Non;;;;Non;Bus et Car;;WDB9061551N546545;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
152002;152002;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;20/03/2015;DP-267-ZM;SPRINTER CITY 65;Non;Oui;;19;Non;;;;Non;Bus et Car;EURO 6 EGR+SCR;WDB9061551N602882;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
152003;152003;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;20/03/2015;DP-261-ZM;SPRINTER CITY 65;Non;Oui;;19;Non;;;;Non;Bus et Car;EURO 6 EGR+SCR;WDB9061551N602973;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
152004;152004;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;20/03/2015;DP-272-ZM;SPRINTER CITY 65;Non;Oui;;19;Non;;;;Non;Bus et Car;EURO 6 EGR+SCR;WDB9061551N602883;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
152005;152005;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;20/03/2015;DP-282-ZM;SPRINTER CITY 65;Non;Oui;;19;Non;;;;Non;Bus et Car;EURO 6 EGR+SCR;WDB9061551N604437;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
152006;152006;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;20/03/2015;DP-258-ZM;SPRINTER CITY 65;Non;Oui;;19;Non;;;;Non;Bus et Car;EURO 6 EGR+SCR;WDB9061551N603690;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
152044;152044;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;17/12/2015;DY-183-FL;SPRINTER CITY 65;Non;Oui;;19;Non;;;;Non;Bus et Car;EURO 6 EGR+SCR;WDB9061551N634933;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
;;;;;;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
